Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	protein-coding gene	ENSG00000087116
ADAMTS3		KIAA0366, ADAMTS-4	protein-coding gene	ENSG00000156140
ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1	protein-coding gene	ENSG00000158859
ADAMTS5		ADMP-2, ADAMTS11	protein-coding gene	ENSG00000154736
ADAMTS6		ADAM-TS6	protein-coding gene	ENSG00000049192
ADAMTS7		ADAM-TS7, DKFZp434H204	protein-coding gene	ENSG00000136378
ADAMTS7P1	ADAMTS7P2		pseudogene	ENSG00000274376
ADAMTS7P2			pseudogene	
ADAMTS7P3			pseudogene	ENSG00000261143
ADAMTS7P4			pseudogene	ENSG00000218052
ADAMTS8		METH2, FLJ41712, ADAM-TS8	protein-coding gene	ENSG00000134917
ADAMTS9		KIAA1312	protein-coding gene	ENSG00000163638
ADAMTS9-AS1			non-coding RNA	ENSG00000241158
ADAMTS9-AS2			non-coding RNA	ENSG00000241684
ADAMTS10		ADAM-TS10	protein-coding gene	ENSG00000142303
ADAMTS12			protein-coding gene	ENSG00000151388
ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	protein-coding gene	ENSG00000160323
ADAMTS14			protein-coding gene	ENSG00000138316
ADAMTS15			protein-coding gene	ENSG00000166106
ADAMTS16		ADAMTS16s	protein-coding gene	ENSG00000145536
ADAMTS17		FLJ32769, FLJ16363	protein-coding gene	ENSG00000140470
ADAMTS18	ADAMTS21		protein-coding gene	ENSG00000140873
ADAMTS19			protein-coding gene	ENSG00000145808
ADAMTS19-AS1		RP11-346A9.1	non-coding RNA	ENSG00000249421
ADAMTS20		GON-1	protein-coding gene	ENSG00000173157
ADAMTS21			other	
ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283	protein-coding gene	ENSG00000178031
ADAMTSL2		KIAA0605	protein-coding gene	ENSG00000197859
ADAMTSL3		KIAA1233, punctin-2	protein-coding gene	ENSG00000156218
ADAMTSL4	TSRC1	DKFZP434K1772	protein-coding gene	ENSG00000143382
ADAMTSL4-AS1	C1orf138	FLJ45786	non-coding RNA	ENSG00000203804
ADAMTSL4-AS2			non-coding RNA	ENSG00000237781
ADAMTSL5	THSD6		protein-coding gene	ENSG00000185761
ADAP1	CENTA1	GCS1L	protein-coding gene	ENSG00000105963
ADAP2	CENTA2		protein-coding gene	ENSG00000184060
ADAR	IFI4, G1P1	ADAR1	protein-coding gene	ENSG00000160710
ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	protein-coding gene	ENSG00000197381
ADARB2		RED2, hRED2, ADAR3	protein-coding gene	ENSG00000185736
ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1	non-coding RNA	ENSG00000205696
ADAT1			protein-coding gene	ENSG00000065457
ADAT2	DEADC1	dJ20N2.1, TAD2	protein-coding gene	ENSG00000189007
ADAT3		TAD3	protein-coding gene	ENSG00000213638
ADCK1		FLJ39600	protein-coding gene	ENSG00000063761
ADCK2		MGC20727	protein-coding gene	ENSG00000133597
ADCK5		FLJ35454	protein-coding gene	ENSG00000173137
ADCP1			other	
ADCP2			other	
ADCR			other	
ADCY1	DFNB44	AC1	protein-coding gene	ENSG00000164742
ADCY2		HBAC2, KIAA1060, AC2	protein-coding gene	ENSG00000078295
ADCY3		AC3	protein-coding gene	ENSG00000138031
ADCY4		AC4	protein-coding gene	ENSG00000129467
ADCY5		AC5	protein-coding gene	ENSG00000173175
ADCY6		AC6	protein-coding gene	ENSG00000174233
ADCY6-DT			non-coding RNA	ENSG00000257660
ADCY7		KIAA0037, AC7	protein-coding gene	ENSG00000121281
ADCY8	ADCY3	HBAC1, AC8	protein-coding gene	ENSG00000155897
ADCY9		AC9	protein-coding gene	ENSG00000162104
ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2	protein-coding gene	ENSG00000143199
ADCY10P1			pseudogene	ENSG00000161912
ADCYAP1		PACAP	protein-coding gene	ENSG00000141433
ADCYAP1R1		PAC1, PACAPR, PAC1R	protein-coding gene	ENSG00000078549
ADD1			protein-coding gene	ENSG00000087274
ADD2		ADDB	protein-coding gene	ENSG00000075340
ADD3	ADDL		protein-coding gene	ENSG00000148700
ADD3-AS1			non-coding RNA	ENSG00000203876
ADDL			other	
ADFN			phenotype	
ADGB	C6orf103	FLJ23121, dJ408K24.1, CAPN16	protein-coding gene	ENSG00000118492
ADGRA1	GPR123	KIAA1828	protein-coding gene	ENSG00000197177
ADGRA1-AS1	GPR123-AS1		non-coding RNA	ENSG00000256925
ADGRA2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390	protein-coding gene	ENSG00000020181
ADGRA3	GPR125	FLJ38547, PGR21	protein-coding gene	ENSG00000152990
ADGRB1	BAI1		protein-coding gene	ENSG00000181790
ADGRB2	BAI2		protein-coding gene	ENSG00000121753
ADGRB3	BAI3	KIAA0550	protein-coding gene	ENSG00000135298
ADGRD1	GPR133	DKFZp434B1272, PGR25	protein-coding gene	ENSG00000111452
ADGRD1-AS1		LACAT8	non-coding RNA	ENSG00000256151
ADGRD2	GPR144	PGR24	protein-coding gene	ENSG00000180264
ADGRE1	TM7LN3, EMR1		protein-coding gene	ENSG00000174837
ADGRE2	EMR2	CD312	protein-coding gene	ENSG00000127507
ADGRE3	EMR3		protein-coding gene	ENSG00000131355
ADGRE4P	GPR127, EMR4, EMR4P	PGR16	pseudogene	ENSG00000268758
ADGRE5	CD97	TM7LN1	protein-coding gene	ENSG00000123146
ADGRF1	GPR110	hGPCR36, PGR19	protein-coding gene	ENSG00000153292
ADGRF2	GPR111	hGPCR35, PGR20	protein-coding gene	ENSG00000164393
ADGRF3	GPR113	hGPCR37, PGR23	protein-coding gene	ENSG00000173567
ADGRF4	GPR115	FLJ38076, PGR18	protein-coding gene	ENSG00000153294
ADGRF5	GPR116	DKFZp564O1923, KIAA0758	protein-coding gene	ENSG00000069122
ADGRF5-AS1			non-coding RNA	ENSG00000225730
ADGRF5P1	GPR116P1		pseudogene	ENSG00000227582
ADGRF5P2	GPR116P2		pseudogene	ENSG00000204818
ADGRG1	GPR56	TM7LN4, TM7XN1	protein-coding gene	ENSG00000205336
ADGRG2	GPR64	HE6, TM7LN2, EDDM6	protein-coding gene	ENSG00000173698
ADGRG3	GPR97	Pb99, PGR26	protein-coding gene	ENSG00000182885
ADGRG4	GPR112	RP1-299I16, PGR17	protein-coding gene	ENSG00000156920
ADGRG5	GPR114	PGR27	protein-coding gene	ENSG00000159618
ADGRG6	GPR126	FLJ14937	protein-coding gene	ENSG00000112414
ADGRG7	GPR128	FLJ14454	protein-coding gene	ENSG00000144820
ADGRL1	LPHN1	KIAA0821, CIRL1, LEC2	protein-coding gene	ENSG00000072071
ADGRL2	LPHH1, LPHN2	KIAA0786, LEC1	protein-coding gene	ENSG00000117114
ADGRL3	LPHN3	KIAA0768, LEC3	protein-coding gene	ENSG00000150471
ADGRL3-AS1	LPHN3-AS1		non-coding RNA	ENSG00000248692
ADGRL4	ELTD1	ETL	protein-coding gene	ENSG00000162618
ADGRV1	USH2C, MASS1, GPR98	DKFZp761P0710, KIAA0686, FEB4, VLGR1	protein-coding gene	ENSG00000164199
ADH1A	ADH1		protein-coding gene	ENSG00000187758
ADH1B	ADH2		protein-coding gene	ENSG00000196616
ADH1C	ADH3		protein-coding gene	ENSG00000248144
ADH4		ADH-2	protein-coding gene	ENSG00000198099
ADH5	FDH	ADH-3, ADHX, GSNOR	protein-coding gene	ENSG00000197894
ADH5P1		ADH-3P1	pseudogene	
ADH5P2			pseudogene	ENSG00000232676
ADH5P3			pseudogene	ENSG00000223694
ADH5P4	ADH5B	bA707M13.2	pseudogene	ENSG00000233859
ADH5P5			pseudogene	ENSG00000234865
ADH6		ADH-5	protein-coding gene	ENSG00000172955
ADH7		ADH-4	protein-coding gene	ENSG00000196344
ADHFE1		FLJ32430	protein-coding gene	ENSG00000147576
ADI1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD	protein-coding gene	ENSG00000182551
ADI1P1			pseudogene	ENSG00000235102
ADI1P2			pseudogene	ENSG00000250684
ADI1P3			pseudogene	ENSG00000258369
ADIG		MGC39724, SMAF1, RP5-1100H13.2	protein-coding gene	ENSG00000182035
ADIPOQ	ACDC	ACRP30, apM1, GBP28, adiponectin	protein-coding gene	ENSG00000181092
ADIPOQ-AS1			non-coding RNA	ENSG00000226482
ADIPOR1		PAQR1, ACDCR1	protein-coding gene	ENSG00000159346
ADIPOR1P1			pseudogene	ENSG00000232497
ADIPOR1P2			pseudogene	ENSG00000258805
ADIPOR2		PAQR2, ACDCR2	protein-coding gene	ENSG00000006831
ADIR		FLJ22345, ADIR2	other	
ADIRF	C10orf116	APM2, AFRO	protein-coding gene	ENSG00000148671
ADIRF-AS1			non-coding RNA	ENSG00000272734
ADK		AK	protein-coding gene	ENSG00000156110
ADL			other	
ADM		AM	protein-coding gene	ENSG00000148926
ADM2		AM2, FLJ21135	protein-coding gene	ENSG00000128165
ADM5	C19orf76	AM5	protein-coding gene	ENSG00000224420
ADMLX			other	
ADMLY			other	
ADNP		KIAA0784, ADNP1	protein-coding gene	ENSG00000101126
ADNP-AS1			non-coding RNA	ENSG00000259456
ADNP2	ZNF508	KIAA0863	protein-coding gene	ENSG00000101544
ADO	C10orf22	FLJ14547	protein-coding gene	ENSG00000181915
ADORA1		RDC7	protein-coding gene	ENSG00000163485
ADORA2A	ADORA2	RDC8	protein-coding gene	ENSG00000128271
ADORA2A-AS1	C22orf45	FLJ34651	non-coding RNA	ENSG00000178803
ADORA2B			protein-coding gene	ENSG00000170425
ADORA2BP1	ADORA2BP		pseudogene	ENSG00000236136
ADORA2L1	ADORA2L		other	
ADORA2L2			other	
ADORA3		AD026	protein-coding gene	ENSG00000282608
ADPGK		DKFZp434B195, ADP-GK	protein-coding gene	ENSG00000159322
ADPGK-AS1			non-coding RNA	ENSG00000260898
ADPRH		ARH1	protein-coding gene	ENSG00000144843
ADPRHL1		ARH2	protein-coding gene	ENSG00000153531
ADPRM	C17orf48	MDS006	protein-coding gene	ENSG00000170222
ADPRS	ADPRHL2	ARH3, FLJ20446	protein-coding gene	ENSG00000116863
ADRA1A	ADRA1C	ADRA1L1	protein-coding gene	ENSG00000120907
ADRA1B			protein-coding gene	ENSG00000170214
ADRA1C			other	
ADRA1D		ADRA1R, ADRA1A, ADRA1	protein-coding gene	ENSG00000171873
ADRA2A	ADRA2, ADRA2R	ADRAR	protein-coding gene	ENSG00000150594
ADRA2B	ADRA2L1, ADRA2RL1	ADRARL1	protein-coding gene	ENSG00000274286
ADRA2C	ADRA2L2, ADRA2RL2	ADRARL2	protein-coding gene	ENSG00000184160
ADRA2L1			other	
ADRB1	ADRB1R		protein-coding gene	ENSG00000043591
ADRB2	ADRB2R	ADRBR, BAR, B2AR	protein-coding gene	ENSG00000169252
ADRB2RL1			other	
ADRB3			protein-coding gene	ENSG00000188778
ADRM1		GP110, Rpn13, ARM1	protein-coding gene	ENSG00000130706
ADSL			protein-coding gene	ENSG00000239900
ADSS1	ADSSL1	FLJ38602	protein-coding gene	ENSG00000185100
ADSS2	ADSS		protein-coding gene	ENSG00000035687
ADT			other	
ADTAA			other	
ADTAB			other	
ADTB1			other	
ADTB2			other	
ADTG			other	
ADTRP	C6orf105	dJ413H6.1, AIG1L	protein-coding gene	ENSG00000111863
AE1			other	
AE2			other	
AEBP1		ACLP	protein-coding gene	ENSG00000106624
AEBP2		MGC17922	protein-coding gene	ENSG00000139154
AEMK			other	
AEN	ISG20L1	FLJ12484, FLJ12562	protein-coding gene	ENSG00000181026
AEPLC			other	
AEZ			other	
AF8T			phenotype	
AFA			phenotype	
AFAP1		AFAP-110, AFAP	protein-coding gene	ENSG00000196526
AFAP1-AS1	AFAP1AS, AFAP1-AS	MGC10981	non-coding RNA	ENSG00000272620
AFAP1L1		FLJ36748	protein-coding gene	ENSG00000157510
AFAP1L2	KIAA1914	FLJ14564, Em:AC005383.4, XB130	protein-coding gene	ENSG00000169129
AFCP			other	
AFD1			phenotype	
AFDN	MLLT4	AF-6, AF6	protein-coding gene	ENSG00000130396
AFDN-DT	C6orf124, MLLT4-AS1, AFDN-AS1	HGC6.4, dJ431P23.3	non-coding RNA	ENSG00000198221
AFF1	PBM1, MLLT2	AF-4, AF4	protein-coding gene	ENSG00000172493
AFF1-AS1			non-coding RNA	
AFF2	FMR2	FRAXE	protein-coding gene	ENSG00000155966
AFF2-IT1			non-coding RNA	ENSG00000223516
AFF3	LAF4	MLLT2-like	protein-coding gene	ENSG00000144218
AFF4		AF5Q31, MCEF	protein-coding gene	ENSG00000072364
AFG1L	LACE1	AFG1	protein-coding gene	ENSG00000135537
AFG3			other	
AFG3L1P	AFG3, AFG3L1		pseudogene	ENSG00000223959
AFG3L2	SCA28	SPAX5	protein-coding gene	ENSG00000141385
AFG3L2P1	AFG3L2P		pseudogene	ENSG00000253606
AFM		ALB2, ALBA	protein-coding gene	ENSG00000079557
AFMID		DKFZp686F03259, KF	protein-coding gene	ENSG00000183077
AFP	HPAFP	FETA	protein-coding gene	ENSG00000081051
AFTPH		MGC33965, FLJ20080, FLJ23793, Nbla10388	protein-coding gene	ENSG00000119844
AGA		ASRG	protein-coding gene	ENSG00000038002
AGAP1	CENTG2	KIAA1099, GGAP1	protein-coding gene	ENSG00000157985
AGAP1-IT1			non-coding RNA	ENSG00000235529
AGAP2	CENTG1		protein-coding gene	ENSG00000135439
AGAP2-AS1		LOC100130776, PUNISHER	non-coding RNA	ENSG00000255737
AGAP3	CENTG3		protein-coding gene	ENSG00000133612
AGAP4	CTGLF1, AGAP8, CTGLF5	Em:AC012044.1, MRIP2	protein-coding gene	ENSG00000188234
AGAP5	CTGLF2	Em:AC073389.1	protein-coding gene	ENSG00000172650
AGAP6	CTGLF3	bA324H6.1	protein-coding gene	ENSG00000204149
AGAP7P	CTGLF4, AGAP7	bA109G10.1	pseudogene	ENSG00000264204
AGAP8	CTGLF5		protein-coding gene	
AGAP9	CTGLF6	bA301J7.2, FLJ00312	protein-coding gene	ENSG00000204172
AGAP10	CTGLF7	bA144G6.2	protein-coding gene	
AGAP10P	AGAP10, CTGLF7, CTGLF10P	bA358L16.1, bA144G6.2	pseudogene	ENSG00000230869
AGAP11		KIAA1975	other	ENSG00000271880
AGAP12P	CTGLF12P	bA164N7.2	pseudogene	ENSG00000265018
AGAP13P	CTGLF9P	bA548K23.1	pseudogene	ENSG00000243289
AGAP14P	CTGLF11P, AGAP14	bA145E20.1	pseudogene	ENSG00000279058
AGBL1		FLJ32310, CCP4	protein-coding gene	ENSG00000273540
AGBL1-AS1			non-coding RNA	ENSG00000260125
AGBL2		FLJ23598, CCP2	protein-coding gene	ENSG00000165923
AGBL3		MGC32955, CCP3	protein-coding gene	ENSG00000146856
AGBL4		FLJ14442, CCP6	protein-coding gene	ENSG00000186094
AGBL4-AS1			non-coding RNA	ENSG00000230114
AGBL4-IT1			non-coding RNA	ENSG00000225623
AGBL5		FLJ21839, CCP5	protein-coding gene	ENSG00000084693
AGBL5-AS1			non-coding RNA	ENSG00000231636
AGBL5-IT1			non-coding RNA	ENSG00000229122
AGER		RAGE, SCARJ1	protein-coding gene	ENSG00000204305
AGFG1	HRB	RIP, RAB	protein-coding gene	ENSG00000173744
AGFG2	HRBL	RABR	protein-coding gene	ENSG00000106351
AGGF1		VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7	protein-coding gene	ENSG00000164252
AGGF1P1			pseudogene	ENSG00000214273
AGGF1P2			pseudogene	ENSG00000233435
AGGF1P3			pseudogene	ENSG00000241532
AGGF1P4			pseudogene	ENSG00000261689
AGGF1P5			pseudogene	ENSG00000260680
AGGF1P6			pseudogene	ENSG00000259836
AGGF1P7			pseudogene	ENSG00000260994
AGGF1P8			pseudogene	ENSG00000261752
AGGF1P9			pseudogene	ENSG00000260427
AGGF1P10			pseudogene	ENSG00000282968
AGK	MULK	FLJ10842	protein-coding gene	ENSG00000006530
AGKP1		AGKY1	pseudogene	ENSG00000226555
AGL			protein-coding gene	ENSG00000162688
AGMAT		FLJ23384	protein-coding gene	ENSG00000116771
AGMO	TMEM195	FLJ16237	protein-coding gene	ENSG00000187546
AGMX1			other	
AGMX2			phenotype	
AGO1	EIF2C1	hAGO1	protein-coding gene	ENSG00000092847
AGO2	EIF2C2, CASC7	hAGO2, Q10, LINC00980	protein-coding gene	ENSG00000123908
AGO3	EIF2C3	hAGO3, FLJ12765	protein-coding gene	ENSG00000126070
AGO4	EIF2C4	hAGO4, KIAA1567, FLJ20033	protein-coding gene	ENSG00000134698
AGPAT1		LPAAT-alpha	protein-coding gene	ENSG00000204310
AGPAT2	BSCL	LPAAT-beta	protein-coding gene	ENSG00000169692
AGPAT3		LPAAT-gamma, LPAAT3	protein-coding gene	ENSG00000160216
AGPAT4		LPAAT-delta, dJ473J16.2	protein-coding gene	ENSG00000026652
AGPAT4-IT1	C6orf59, NCRNA00241	FLJ23112	non-coding RNA	ENSG00000279355
AGPAT5		FLJ11210, LPAAT-e, LPAAT-epsilon	protein-coding gene	ENSG00000155189
AGPAT5P1			pseudogene	ENSG00000234652
AGPS		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S	protein-coding gene	ENSG00000018510
AGR2		XAG-2, HAG-2, AG2, PDIA17	protein-coding gene	ENSG00000106541
AGR3		HAG3, hAG-3, BCMP11, PDIA18	protein-coding gene	ENSG00000173467
AGRN	AGRIN		protein-coding gene	ENSG00000188157
AGRP		Agrt, ART, ASIP2	protein-coding gene	ENSG00000159723
AGS			other	
AGS1	AGS1		phenotype	
AGS2	AGS2		phenotype	
AGT	SERPINA8		protein-coding gene	ENSG00000135744
AGTBP			other	
AGTIL			other	
AGTPBP1		KIAA1035, Nna1, CCP1	protein-coding gene	ENSG00000135049
AGTR1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B	protein-coding gene	ENSG00000144891
AGTR1B		AT2R1B	other	
AGTR2		AT2, MRX88	protein-coding gene	ENSG00000180772
AGTRAP		ATRAP	protein-coding gene	ENSG00000177674
AGTRL2			other	
AGXT	SPAT	AGXT1, PH1, AGT, SPT, AGT1	protein-coding gene	ENSG00000172482
AGXT2		AGT2	protein-coding gene	ENSG00000113492
AHC			other	
AHCTF1		ELYS	protein-coding gene	ENSG00000153207
AHCTF1P1	AHCTF1P	ELYS-like	pseudogene	ENSG00000226121
AHCY		SAHH	protein-coding gene	ENSG00000101444
AHCYL1		XPVKONA, IRBIT, PPP1R78	protein-coding gene	ENSG00000168710
AHCYL2		KIAA0828, long-IRBIT, IRBIT2	protein-coding gene	ENSG00000158467
AHCYP1			pseudogene	
AHCYP2			pseudogene	ENSG00000238181
AHCYP3			pseudogene	ENSG00000233955
AHCYP4			pseudogene	ENSG00000232992
AHCYP5			pseudogene	ENSG00000213107
AHCYP6			pseudogene	
AHCYP7			pseudogene	ENSG00000259465
AHCYP8			pseudogene	ENSG00000242529
AHDC1		DJ159A19.3, RP1-159A19.1	protein-coding gene	ENSG00000126705
AHDS			phenotype	
AHI1		FLJ20069, ORF1, JBTS3	protein-coding gene	ENSG00000135541
AHNAK		MGC5395	protein-coding gene	ENSG00000124942
AHNAK2	C14orf78		protein-coding gene	ENSG00000185567
AHR		bHLHe76	protein-coding gene	ENSG00000106546
AHRR	AHH, AHHR	KIAA1234, bHLHe77	protein-coding gene	ENSG00000063438
AHSA1	C14orf3	p38, Aha1, hAha1	protein-coding gene	ENSG00000100591
AHSA2P	AHSA2	DKFZp564C236, Hch1, AHA1	pseudogene	ENSG00000173209
AHSG		FETUA, A2HS, HSGA	protein-coding gene	ENSG00000145192
AHSP	ERAF	EDRF	protein-coding gene	ENSG00000169877
AIC			phenotype	
AICDA		HIGM2, CDA2, ARP2, AID	protein-coding gene	ENSG00000111732
AIDA	C1orf80	FLJ12806	protein-coding gene	ENSG00000186063
AIDAP1			pseudogene	ENSG00000230154
AIDAP2			pseudogene	ENSG00000251429
AIDAP3			pseudogene	ENSG00000264189
AIED		OA2	phenotype	
AIF1		IRT-1, AIF-1, Em:AF129756.17, IBA1	protein-coding gene	ENSG00000204472
AIF1L	C9orf58	IBA2, FLJ12783	protein-coding gene	ENSG00000126878
AIFM1	PDCD8, NAMSD, AUNX1	AIF, CMTX4, DFNX5	protein-coding gene	ENSG00000156709
AIFM1P1			pseudogene	ENSG00000225509
AIFM2	AMID	FLJ14497, PRG3	protein-coding gene	ENSG00000042286
AIFM3		AIFL, FLJ30473	protein-coding gene	ENSG00000183773
AIG1		dJ95L4.1, AIG-1, FLJ10485	protein-coding gene	ENSG00000146416
AIG1P1			pseudogene	ENSG00000249089
AIH1			other	
AIH2		ADAI	phenotype	
AIH3			phenotype	
AIM2		PYHIN4	protein-coding gene	ENSG00000163568
AIMP1	SCYE1	EMAPII, EMAP-2, p43	protein-coding gene	ENSG00000164022
AIMP1P1	SCYE1P	bA400P21.1	pseudogene	ENSG00000234187
AIMP1P2			pseudogene	ENSG00000227177
AIMP2		p38, PRO0992, JTV-1, JTV1	protein-coding gene	ENSG00000106305
AIP		XAP2, ARA9, FKBP16, FKBP37	protein-coding gene	ENSG00000110711
AIPL1	LCA4		protein-coding gene	ENSG00000129221
AIRE	APECED	PGA1, APS1	protein-coding gene	ENSG00000160224
AIRN		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1	non-coding RNA	ENSG00000268257
AIS1			phenotype	
AIS2			phenotype	
AIS3			phenotype	
AJAP1		SHREW1, SHREW-1, MOT8	protein-coding gene	ENSG00000196581
AJM1	C9orf172	ajm-1	protein-coding gene	ENSG00000232434
AJUBA	JUB	MGC15563	protein-coding gene	ENSG00000129474
AK1			protein-coding gene	ENSG00000106992
AK2			protein-coding gene	ENSG00000004455
AK2P1		AK2B	pseudogene	
AK2P2			pseudogene	ENSG00000242272
AK3	AK6, AK3L1	AKL3L1	protein-coding gene	ENSG00000147853
AK3P2		HsT26053	pseudogene	ENSG00000250115
AK3P3			pseudogene	ENSG00000230042
AK3P4			pseudogene	ENSG00000248722
AK3P5			pseudogene	ENSG00000228816
AK3P6			pseudogene	
AK4	AK3, AK3L1		protein-coding gene	ENSG00000162433
AK4P1	AK3P1		pseudogene	ENSG00000263535
AK4P2			pseudogene	ENSG00000249410
AK4P3	AK3L2	AK3L2P	pseudogene	ENSG00000233381
AK4P4			pseudogene	ENSG00000223621
AK4P5			pseudogene	ENSG00000217377
AK4P6			pseudogene	ENSG00000235606
AK5			protein-coding gene	ENSG00000154027
AK6			other	
AK6		CINAP	protein-coding gene	ENSG00000085231
AK6P1			pseudogene	ENSG00000256614
AK6P2			pseudogene	ENSG00000257173
AK7		FLJ32864, FAP75, CFAP75	protein-coding gene	ENSG00000140057
AK8	C9orf98	FLJ32704	protein-coding gene	ENSG00000165695
AK9	C6orf224, AKD2, C6orf199, AKD1	FLJ42177, FLJ25791, dJ70A9.1, MGC26954	protein-coding gene	ENSG00000155085
AKAIN1	C18orf42		protein-coding gene	ENSG00000231824
AKAP1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17	protein-coding gene	ENSG00000121057
AKAP2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2	other	
AKAP3		FSP95, SOB1, AKAP110, CT82	protein-coding gene	ENSG00000111254
AKAP4		p82, hAKAP82, AKAP82, Fsc1, HI, CT99	protein-coding gene	ENSG00000147081
AKAP5		AKAP75, AKAP79	protein-coding gene	ENSG00000179841
AKAP6		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6	protein-coding gene	ENSG00000151320
AKAP7		AKAP18, AKAP15	protein-coding gene	ENSG00000118507
AKAP8		AKAP95, DKFZp586B1222	protein-coding gene	ENSG00000105127
AKAP8L		NAKAP95, HAP95	protein-coding gene	ENSG00000011243
AKAP8P1			pseudogene	ENSG00000234146
AKAP9		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11	protein-coding gene	ENSG00000127914
AKAP10		D-AKAP2, PRKA10, MGC9414	protein-coding gene	ENSG00000108599
AKAP11		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	protein-coding gene	ENSG00000023516
AKAP11-IT1			non-coding RNA	
AKAP12		AKAP250, SSeCKS	protein-coding gene	ENSG00000131016
AKAP13	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	protein-coding gene	ENSG00000170776
AKAP14		AKAP28	protein-coding gene	ENSG00000186471
AKAP17A	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	protein-coding gene	ENSG00000197976
AKAP17BP	AKAP16B, AKAP16BP		pseudogene	ENSG00000214992
AKD2	C6orf199	dJ70A9.1, MGC26954	protein-coding gene	
AKIP1	C11orf17	BCA3	protein-coding gene	ENSG00000166452
AKIRIN1	C1orf108	FLJ12666	protein-coding gene	ENSG00000174574
AKIRIN1P1			pseudogene	ENSG00000257786
AKIRIN1P2			pseudogene	ENSG00000228125
AKIRIN2	C6orf166	FLJ10342, dJ486L4.2	protein-coding gene	ENSG00000135334
AKIRIN2-AS1	NCRNA00120	PRO2266	non-coding RNA	
AKIRIN2P1			pseudogene	ENSG00000251482
AKNA		KIAA1968	protein-coding gene	ENSG00000106948
AKNAD1	C1orf62	MGC26989	protein-coding gene	ENSG00000162641
AKR1A1		ALR, DD3	protein-coding gene	ENSG00000117448
AKR1B1	ALDR1	AR	protein-coding gene	ENSG00000085662
AKR1B1P1	ALDRL1		pseudogene	ENSG00000229991
AKR1B1P2	ALDRP		pseudogene	ENSG00000213452
AKR1B1P3	ALDRL3		pseudogene	ENSG00000213785
AKR1B1P4	ALDRL4		pseudogene	ENSG00000237876
AKR1B1P5	AKR1B1P		pseudogene	ENSG00000258685
AKR1B1P6			pseudogene	ENSG00000225212
AKR1B1P7			pseudogene	ENSG00000266899
AKR1B1P8			pseudogene	ENSG00000231371
AKR1B10	AKR1B11	AKR1B12, ARL-1, HIS, ARL1, HSI, ALDRLn	protein-coding gene	ENSG00000198074
AKR1B10P1			pseudogene	ENSG00000213606
AKR1B10P2			pseudogene	ENSG00000263355
AKR1B11		ARL-1, HIS	other	
AKR1B15			protein-coding gene	ENSG00000227471
AKR1C1	DDH1	DDH, MBAB, DD1, HAKRC	protein-coding gene	ENSG00000187134
AKR1C2	DDH2, TDD	DD, BABP, DD2, HAKRD, MCDR2	protein-coding gene	ENSG00000151632
AKR1C3	HSD17B5	KIAA0119, DDX, HAKRB, PGFS	protein-coding gene	ENSG00000196139
AKR1C4	CHDR	DD4, HAKRA, C11, 3-alpha-HSD, CDR, MGC22581	protein-coding gene	ENSG00000198610
AKR1C5P			pseudogene	ENSG00000225418
AKR1C6P		TAKR	pseudogene	ENSG00000151631
AKR1C7P			pseudogene	ENSG00000215267
AKR1C8P	AKR1CL1		pseudogene	ENSG00000264006
AKR1D1	SRD5B1		protein-coding gene	ENSG00000122787
AKR1D1P1	SRD5BP1, AKR1D1P		pseudogene	ENSG00000227776
AKR1E2	AKRDC1, AKR1CL2	MGC10612	protein-coding gene	ENSG00000165568
AKR7A2		AFAR	protein-coding gene	ENSG00000053371
AKR7A2P1		AFARP1	pseudogene	ENSG00000229020
AKR7A2P2			pseudogene	ENSG00000224341
AKR7A3			protein-coding gene	ENSG00000162482
